NumAtoms,NumHeavyAtoms,NumBonds,NumRotatableBonds,NumAliphaticRings,NumAromaticRings,NumHeteroatoms,HBD,HBA,FormalCharge,Atom_Density,HeavyAtom_Ratio,Flexibility_Index,Ring_Complexity,Aromatic_Ratio,Heteroatom_Ratio,Hbond_Balance,Charge_Density,Structural_Complexity,Connectivity_Index
195,143,83,2,7,2,26,7,9,-2,2.3493975620554512,0.7333333295726496,0.02409638525185078,0.046153845917159764,0.25,0.13333333264957264,0.7,-0.010256410203813281,85,0.42564102345825117
150,35,170,21,8,2,43,3,12,-2,0.8823529359861592,0.2333333317777778,0.1235294110380623,0.06666666622222223,0.2222222222222222,0.2866666647555556,0.23076923076923078,-0.013333333244444445,191,1.1333333257777778
48,135,128,3,6,4,40,0,0,-3,0.3749999970703125,2.8124999414062515,0.02343749981689453,0.20833332899305565,0.5714285714285714,0.8333333159722226,0.0,-0.0624999986979167,131,2.6666666111111126
166,79,149,7,6,9,46,5,12,2,1.114093952254403,0.47590361159094213,0.04697986545651097,0.09036144523878648,1.2857142857142858,0.27710843206561186,0.38461538461538464,0.012048192698504864,156,0.8975903560386124
194,123,106,13,5,6,4,8,3,-3,1.8301886619793524,0.6340206152885536,0.1226415082769669,0.0567010306355617,1.0,0.020618556594749708,2.0,-0.015463917446062281,119,0.5463917497608672
18,130,132,19,1,9,14,3,3,-3,0.13636363533057852,7.222221820987676,0.143939392848944,0.5555555246913597,4.5,0.7777777345679036,0.75,-0.1666666574074079,151,7.333332925925948
99,80,194,23,9,5,1,2,14,2,0.5103092757200552,0.8080807999183758,0.11855670041981083,0.14141413998571575,0.5,0.010101009998979697,0.13333333333333333,0.020202019997959394,217,1.9595959398020613
52,69,134,13,9,3,14,5,7,-3,0.3880596985965694,1.326923051405326,0.09701492464914235,0.23076922633136104,0.3,0.2692307640532545,0.625,-0.05769230658284026,147,2.576923027366865
19,117,130,27,8,5,30,5,10,-1,0.1461538450295858,6.157894412742399,0.20769230609467457,0.684210490304711,0.5555555555555556,1.5789472853185638,0.45454545454545453,-0.05263157617728546,157,6.84210490304711
194,65,24,15,4,6,19,3,3,2,8.083332996527792,0.3350515446646828,0.6249999739583344,0.051546391486874274,1.2,0.09793814382506112,0.75,0.010309278297374854,39,0.12371133956849825
44,115,129,31,5,3,2,6,4,2,0.3410852686737576,2.6136363042355386,0.24031007565651105,0.18181817768595052,0.5,0.04545454442148763,1.2,0.04545454442148763,160,2.931818115185952
86,96,127,46,0,7,41,1,3,3,0.6771653489986981,1.1162790567874528,0.36220472155744315,0.08139534789075177,7.0,0.4767441805029747,0.25,0.0348837205246079,173,1.4767441688750678
115,50,161,11,4,4,38,0,4,-2,0.7142857098491571,0.43478260491493387,0.06832298094209328,0.06956521678638942,0.8,0.33043477973534974,0.0,-0.017391304196597356,172,1.3999999878260871
57,14,14,15,5,2,9,5,2,1,4.071428280612266,0.24561403077870123,1.0714284948979647,0.12280701538935061,0.3333333333333333,0.1578947340720222,1.6666666666666667,0.017543859341335802,29,0.24561403077870123
28,147,25,18,9,1,25,2,2,0,1.1199999552000017,5.249999812500007,0.7199999712000011,0.35714284438775556,0.1,0.8928571109693889,0.6666666666666666,0.0,43,0.8928571109693889
158,42,114,4,1,0,9,2,7,-3,1.385964900123115,0.2658227831277039,0.03508771899045861,0.00632911388399295,0.0,0.05696202495593655,0.25,-0.01898734165197885,118,0.7215189827751963
192,87,128,11,6,3,39,0,11,1,1.49999998828125,0.453124997639974,0.08593749932861329,0.046874999755859376,0.42857142857142855,0.2031249989420573,0.0,0.005208333306206597,139,0.6666666631944445
128,59,60,28,3,1,12,1,13,-2,2.1333332977777784,0.46093749639892584,0.46666665888888903,0.03124999975585938,0.25,0.09374999926757813,0.07142857142857142,-0.01562499987792969,88,0.46874999633789066
45,89,92,4,4,2,20,2,0,-1,0.4891304294659736,1.9777777338271616,0.04347826039697543,0.13333333037037046,0.4,0.4444444345679015,2.0,-0.022222221728395074,96,2.0444443990123466
161,86,134,41,2,0,33,0,2,3,1.2014925283470708,0.5341614873654567,0.30597014697037206,0.01242236017128969,0.0,0.20496894282627987,0.0,0.018633540256934533,175,0.8322981314764092
19,123,161,16,4,5,43,7,1,2,0.11801242162725205,6.473683869806112,0.09937888137031752,0.47368418559556913,1.0,2.263157775623275,3.5,0.10526315235457093,177,8.47368376454296
49,76,219,46,3,3,31,5,9,1,0.2237442912157795,1.5510203765097883,0.21004566114134401,0.12244897709287803,0.75,0.6326530483132031,0.5,0.020408162848813003,265,4.469387663890048
