material,smiles,Molecular_Volume,Radius_of_Gyration,Surface_Area,Shape_Factor,Molecular_Weight,Repeat_Unit_MW,TPSA,LogP,Molar_Refractivity,Partial_Charges
material_030,C=N,9.8407,3.13698900221215,23.85,0.412607949156899,29.042,29.042,23.85,0.26577,9.8407,1.11022302462516E-17
material_031,ClBr,14.78,3.84447655734822,0,14780000,115.357,115.357,0,1.5351,14.78,0
material_032,N=NOOCBr,21.1117,4.59474700065194,54.67,0.38616608037011,154.951,154.951,54.67,1.23297,21.1117,6.16790569236198E-18
material_033,N=N,5.4394,2.33225213045245,47.7,0.114033540586299,30.03,30.03,47.7,0.59614,5.4394,0
material_034,O=O,6.734,2.59499518303985,34.14,0.197246625739701,31.998,31.998,34.14,0.067,6.734,0
material_035,C=C=C=C=C,21.793,4.66829733414657,0,21793000,64.087,64.087,0,1.2675,21.793,-1.5419764230905E-17
material_036,NCOBr,19.0664,4.36650890300249,35.25,0.540890764797425,125.953,125.953,35.25,0.2291,19.0664,0
material_037,N=C=N,10.4464,3.23208910768252,47.7,0.21900209184482,42.041,42.041,47.7,0.31784,10.4464,1.11022302462516E-17
material_038,CNO,10.8462,3.2933569499828,32.26,0.336212016856416,47.057,47.057,32.26,-0.405,10.8462,0
material_039,CNN=O,14.8547,3.85417954952802,41.46,0.358289909351425,60.056,60.056,41.46,-0.1128,14.8547,-1.04083408558608E-17
material_040,OC=C=CCl,21.1348,4.59726005355364,20.23,1.04472560332548,90.509,90.509,20.23,1.4095,21.1348,-2.42861286636753E-17
material_041,CC=N,14.4577,3.80232823412183,23.85,0.60619284670051,43.069,43.069,23.85,0.65587,14.4577,2.42861286636753E-17
material_042,C=O,7.121,2.66852018916852,17.07,0.417164591847417,30.026,30.026,17.07,-0.1849,7.121,0
material_043,O=C=NBr,17.0485,4.12898292561255,29.43,0.579289820615365,121.921,121.921,29.43,0.6321,17.0485,-1.04083408558608E-17
material_044,ClCl,11.706,3.42140322090221,0,11706000,70.906,70.906,0,1.379,11.706,0
material_045,ClOCl,12.791,3.57645075458897,9.23,1.38580700045428,86.905,86.905,9.23,1.3106,12.791,0
material_046,ClNBr,17.9157,4.23269417747137,12.03,1.48925174652937,130.372,130.372,12.03,1.0397,17.9157,-6.93889390390723E-18
material_047,OBr,11.1458,3.33853261179219,20.23,0.550954001435788,96.911,96.911,20.23,0.2886,11.1458,0
material_048,CCCl,16.394,4.04895048129759,0,16394000,64.515,64.515,0,1.2451,16.394,1.73472347597681E-18
material_049,CNCOCNCBr,36.8084,6.06699266523374,33.29,1.10568936300122,183.049,183.049,33.29,0.0794,36.8084,1.31473779231926E-17
material_050,BrBr,17.854,4.22539938940688,0,17854000,159.808,159.808,0,1.6912,17.854,0
material_051,NON,9.4598,3.07567878686966,61.27,0.154395296974126,48.045,48.045,61.27,-1.2496,9.4598,1.58603289232165E-17
material_052,ClCBr,19.647,4.43249365481779,0,19647000,129.384,129.384,0,1.5776,19.647,2.77555756156289E-18
material_053,NO,5.9739,2.44415629614802,46.25,0.12916540261264,33.03,33.03,46.25,-0.6657,5.9739,0
material_054,NOOO,8.9862,2.99769911765674,64.71,0.138868797112212,65.028,65.028,64.71,-0.7187,8.9862,-1.58603289232165E-17
material_055,CNNC,18.1194,4.25668885402727,24.06,0.753092238026092,60.1,60.1,24.06,-0.6598,18.1194,5.78241158658936E-18
material_056,NC=C=C=NO,21.4919,4.63593572000303,58.61,0.366693390774725,84.078,84.078,58.61,-0.3272,21.4919,5.55111512312578E-18
material_057,NOCl,11.1254,3.33547597802772,35.25,0.31561417544357,67.475,67.475,35.25,0.0305000000000001,11.1254,0
material_058,BrOOBr,20.024,4.47481843207074,18.46,1.08472366821649,191.806,191.806,18.46,1.5544,20.024,0
material_059,C=CCl,16.05,4.00624512480203,0,16050000,62.499,62.499,0,1.3687,16.05,4.62592926927149E-18
material_060,NC=O,10.2514,3.20178075451771,43.09,0.237906701371392,45.041,45.041,43.09,-0.8985,10.2514,9.25185853854297E-18
material_061,ClOBr,15.865,3.98308925333089,9.23,1.71885138473983,131.356,131.356,9.23,1.4667,15.865,0
material_062,C=CNO,15.1192,3.88834154878401,32.26,0.468667065447394,59.068,59.068,32.26,0.1087,15.1192,-6.16790569236198E-18
material_063,CCC=O,16.355,4.04413155077824,17.07,0.958113593549292,58.08,58.08,17.07,0.5953,16.355,-1.11022302462516E-17
material_064,NCO,11.2732,3.35755863686697,46.25,0.243744859594706,47.057,47.057,46.25,-1.1051,11.2732,1.38777878078145E-17
material_065,COO,9.6378,3.10448063289176,29.46,0.327148665066237,48.041,48.041,29.46,0.1058,9.6378,2.37904933848248E-17
material_066,N=CO,11.4125,3.37823918632177,44.08,0.258904259099268,45.041,45.041,44.08,0.15147,11.4125,0
material_067,CC,11.348,3.36867926641882,0,11348000,30.07,30.07,0,1.0262,11.348,8.67361737988404E-19
material_068,CN,10.1114,3.17984276340828,26.02,0.388601061160605,31.058,31.058,26.02,-0.4251,10.1114,-1.58603289232165E-17
material_069,N=NNC=NOCO,24.9462,4.99461710244139,90.06,0.276995333366696,118.096,118.096,90.06,-0.56833,24.9462,2.18079522694227E-17
material_070,ClCN=NCl,21.429,4.62914678963629,24.72,0.866868896971323,112.947,112.947,24.72,1.7887,21.429,-1.18952466924124E-17
material_071,O=CBr,15.6775,3.95948228939087,17.07,0.918424082107552,108.922,108.922,17.07,0.5715,15.6775,-6.93889390390723E-18
material_072,ONOCl,11.8602,3.4438641088173,41.49,0.285856826082024,83.474,83.474,41.49,0.0506000000000001,11.8602,4.62592926927149E-18
material_073,C=CN=NN,19.2404,4.38638803573054,50.74,0.37919589319677,71.083,71.083,50.74,0.4558,19.2404,5.55111512312578E-18
material_074,ONBr,13.8492,3.72145132979057,32.26,0.429299428725994,111.926,111.926,32.26,0.2751,13.8492,-5.55111512312578E-18
material_075,NNNBr,19.3858,4.40293084206418,50.08,0.387096637637847,125.957,125.957,50.08,-0.7358,19.3858,0
material_076,CCN,14.7284,3.83775976319519,26.02,0.566041484779344,45.085,45.085,26.02,-0.0349999999999998,14.7284,2.77555756156289E-18
material_077,O=CCl,12.6035,3.55014084227654,17.07,0.738342077425772,64.471,64.471,17.07,0.4154,12.6035,-6.93889390390723E-18
material_078,NBr,13.1144,3.62138095206787,26.02,0.504012278861942,95.927,95.927,26.02,0.255,13.1144,0
material_079,NCCO,16.1402,4.0174867765806,46.25,0.348977289751843,61.084,61.084,46.25,-1.0626,16.1402,1.51394048812521E-17
material_080,CNOCl,15.9977,3.99971248966723,21.26,0.752478798096012,81.502,81.502,21.26,0.2912,15.9977,3.46944695195361E-18
material_081,[O-][Br+]OBr,10.012,3.16417445789577,32.29,0.310065026012232,191.806,191.806,32.29,-0.4118,10.012,-2.77555756156289E-17
material_082,C=NNO,14.4712,3.80410304802591,44.62,0.324320925048836,60.056,60.056,44.62,-0.4192,14.4712,-3.46944695195361E-18
material_083,CBr,14.851,3.8536995212393,0,14851000,94.939,94.939,0,1.0111,14.851,-8.32667268468867E-18
material_084,N=CBr,17.7107,4.20840825015825,23.85,0.742586970960714,107.938,107.938,23.85,0.98837,17.7107,-1.94289029309402E-17
material_085,C=NCl,15.402,3.92453818939248,12.36,1.24611640403589,63.487,63.487,12.36,0.8408,15.402,0
material_086,CCCNO,20.0802,4.48109361651818,32.26,0.62244883377406,75.111,75.111,32.26,0.3752,20.0802,0
material_087,CONC=CCl,25.1377,5.01375109075032,21.26,1.18239411183471,107.54,107.54,21.26,0.8474,25.1377,6.93889390390723E-18
material_088,OO,5.2576,2.29294570367464,40.46,0.129945622097241,34.014,34.014,40.46,0.0174,5.2576,0
material_089,C=COCBr,25.076,5.00759423276287,9.23,2.71679277174509,136.976,136.976,9.23,1.4989,25.076,-5.55111512312578E-18
material_090,NCN,13.2418,3.63892841369544,52.04,0.25445426105968,46.073,46.073,52.04,-1.1387,13.2418,6.16790569236198E-18
material_091,COON=CN,20.7734,4.5577845495372,56.84,0.365471492514576,90.082,90.082,56.84,-0.5336,20.7734,0
material_092,C=C,11.254,3.35469819805001,0,11254000,28.054,28.054,0,0.8022,11.254,-2.31296463463574E-18
material_093,ONCl,10.7752,3.28255997660363,32.26,0.334011148976716,67.475,67.475,32.26,0.119,10.7752,0
material_094,O=NOCl,12.733,3.56833294410709,38.66,0.329358501568585,81.458,81.458,38.66,0.8382,12.733,-2.77555756156289E-17
material_095,NN=O,9.9824,3.15949363031483,55.45,0.180025244724522,46.029,46.029,55.45,-0.3735,9.9824,-1.11022302462516E-17
material_096,NNBr,16.2501,4.03114127760365,38.05,0.427072262100598,110.942,110.942,38.05,-0.2404,16.2501,-1.38777878078145E-17
material_097,C=CBr,19.124,4.3730995872493,0,19124000,106.95,106.95,0,1.5248,19.124,4.62592926927149E-18
material_098,NCNN=O,17.9851,4.24088434173817,67.48,0.266524892315873,75.071,75.071,67.48,-0.8264,17.9851,-2.77555756156289E-17
material_099,NCl,10.0404,3.16865902236261,26.02,0.385872391011822,51.476,51.476,26.02,0.0989000000000001,10.0404,-2.77555756156289E-17
material_100,C=CC,15.871,3.98384236635939,0,15871000,42.081,42.081,0,1.1923,15.871,3.08395284618099E-18
